timestamp,open,high,low,close
37711,119.82,120.19,117.72,118.17
37712,118.19,118.49,117.75,118.18
37713,118.2,119.27,117.57,118.9
37714,118.89,119.69,118.45,119.55
37715,119.54,120.18,119.12,119.97
37718,120.36,120.87,119.87,119.91
37719,120.24,120.24,119.36,119.86
37720,119.83,120.67,119.59,120.05
37721,119.67,119.71,119.51,119.68
37722,119.69,120.86,119.47,120.37
37725,120.58,120.82,119.93,120.25
37726,120.26,120.69,119.95,120.18
37727,120.19,120.57,119.22,119.4
37728,119.44,119.76,118.87,119.66
37729,119.55,119.81,119.5,119.75
37732,119.62,120.67,119.5,120.5
37733,120.5,120.74,119.3,119.93
37734,119.92,120.63,119.76,120.41
37735,120.42,120.68,119.49,119.92
37736,119.93,121.14,119.67,120.34
37739,120.1,120.48,119.83,120.44
37740,120.43,120.72,119.6,119.87
37741,119.89,119.96,118.55,118.92
37742,118.89,119.02,118.12,118.56
37743,118.58,119.34,118.35,118.95
37746,118.99,119.06,118.47,118.63
37747,118.6,118.74,117.55,117.7
37748,117.7,117.82,116.02,116.26
37749,116.24,116.97,115.92,116.9
37750,116.91,117.61,116.76,117.26
37753,117.25,117.25,116.28,116.95
37754,116.94,117.53,116.3,116.6
37755,116.6,116.85,115.55,116.1
37756,116.19,116.61,115.25,116.61
37757,116.58,116.58,115.76,115.91
37760,115.55,117.48,115.01,117.34
37761,117.35,117.4,116.55,116.71
37762,116.7,117.54,116.47,117.3
37763,117.27,117.78,116.89,117.23
37764,117.22,117.43,116.7,116.85
37767,116.82,117.39,116.66,116.72
37768,116.75,117.31,116.15,117.22
37769,117.21,118.92,116.92,118.69
37770,118.69,119.15,117.94,118.39
37771,118.35,119.65,117.91,119.27
37774,119.57,119.63,118.29,118.52
37775,118.56,119.33,118.25,119.04
37776,119.08,119.37,118.31,118.74
37777,118.71,118.92,117.31,117.77
37778,117.74,118.92,117.54,118.72
37781,118.71,118.78,117.77,118.1
37782,118.08,118.38,117.51,117.73
37783,117.73,118.25,117.44,117.79
37784,117.71,117.99,117.42,117.62
37785,117.6,117.89,117.13,117.34
37788,117.35,117.8,117.13,117.63
37789,117.61,118.42,117.45,118.14
37790,118.01,118.71,117.65,117.84
37791,117.85,119.1,117.71,118.35
